d,T,N,run,K,B,y0,runtime
1, 0.500000, 50, 0, 47.000000, 46.000000, -0.007832, 139.228682
1, 0.500000, 50, 1, 47.000000, 46.000000, 0.008199, 137.905732
1, 0.500000, 50, 2, 47.000000, 46.000000, 0.000115, 139.320105
1, 0.500000, 50, 3, 47.000000, 46.000000, 0.003837, 139.598043
1, 0.500000, 50, 4, 47.000000, 46.000000, -0.000129, 139.782987
1, 0.500000, 50, 5, 47.000000, 46.000000, 0.000036, 141.098083
1, 0.500000, 50, 6, 47.000000, 46.000000, 0.014220, 141.373625
1, 0.500000, 50, 7, 47.000000, 46.000000, 0.006634, 140.353550
1, 0.500000, 50, 8, 47.000000, 46.000000, 0.014991, 141.944955
1, 0.500000, 50, 9, 47.000000, 46.000000, 0.000023, 142.419780
1, 0.500000, 50, 0, 47.000000, 53.000000, 0.256295, 141.566859
1, 0.500000, 50, 1, 47.000000, 53.000000, 0.249736, 141.746965
1, 0.500000, 50, 2, 47.000000, 53.000000, 0.300300, 142.655319
1, 0.500000, 50, 3, 47.000000, 53.000000, 0.269577, 143.898583
1, 0.500000, 50, 4, 47.000000, 53.000000, 0.308200, 143.875711
1, 0.500000, 50, 5, 47.000000, 53.000000, 0.328878, 145.230995
1, 0.500000, 50, 6, 47.000000, 53.000000, 0.324949, 144.579126
1, 0.500000, 50, 7, 47.000000, 53.000000, 0.358412, 145.483187
1, 0.500000, 50, 8, 47.000000, 53.000000, 0.333836, 146.293087
1, 0.500000, 50, 9, 47.000000, 53.000000, 0.318646, 145.217710
1, 0.500000, 50, 0, 52.000000, 46.000000, -0.005373, 146.314373
1, 0.500000, 50, 1, 52.000000, 46.000000, -0.000102, 147.202939
1, 0.500000, 50, 2, 52.000000, 46.000000, 0.000155, 146.967901
1, 0.500000, 50, 3, 52.000000, 46.000000, 0.005971, 145.166591
1, 0.500000, 50, 4, 52.000000, 46.000000, -0.000184, 145.888801
1, 0.500000, 50, 5, 52.000000, 46.000000, -0.007169, 146.963056
1, 0.500000, 50, 6, 52.000000, 46.000000, 0.015068, 147.467997
1, 0.500000, 50, 7, 52.000000, 46.000000, -0.003009, 146.619708
1, 0.500000, 50, 8, 52.000000, 46.000000, -0.001759, 148.758389
1, 0.500000, 50, 9, 52.000000, 46.000000, 0.000099, 149.147675
1, 0.500000, 50, 0, 52.000000, 53.000000, 0.009229, 148.137629
1, 0.500000, 50, 1, 52.000000, 53.000000, 0.003795, 148.871666
1, 0.500000, 50, 2, 52.000000, 53.000000, 0.005000, 150.537450
1, 0.500000, 50, 3, 52.000000, 53.000000, 0.004476, 152.442458
1, 0.500000, 50, 4, 52.000000, 53.000000, 0.017327, 151.978899
1, 0.500000, 50, 5, 52.000000, 53.000000, -0.002784, 151.228505
1, 0.500000, 50, 6, 52.000000, 53.000000, 0.000045, 150.896795
1, 0.500000, 50, 7, 52.000000, 53.000000, 0.005327, 153.658000
1, 0.500000, 50, 8, 52.000000, 53.000000, 0.008649, 151.100663
1, 0.500000, 50, 9, 52.000000, 53.000000, -0.023304, 150.276433
