d,T,N,run,option_type,K,B,y0,runtime
1,0.5,50,0,call,4.9818616,357.52017164230347,4.9818616,357.52017164230347
1,0.5,50,1,call,6.851495,357.8895139694214,6.851495,357.8895139694214
1,0.5,50,2,call,5.460575,358.5350127220154,5.460575,358.5350127220154
1,0.5,50,3,call,8.625746,359.93885469436646,8.625746,359.93885469436646
1,0.5,50,4,call,6.767225,361.5047845840454,6.767225,361.5047845840454
1,0.5,50,5,call,3.9660392,361.2589793205261,3.9660392,361.2589793205261
1,0.5,50,6,call,6.34183,360.37633752822876,6.34183,360.37633752822876
1,0.5,50,7,call,6.8226175,359.4312090873718,6.8226175,359.4312090873718
1,0.5,50,8,call,8.158383,360.633935213089,8.158383,360.633935213089
1,0.5,50,9,call,4.7248898,359.4835968017578,4.7248898,359.4835968017578
1,0.5,50,0,put,6.135567,359.8349609375,6.135567,359.8349609375
1,0.5,50,1,put,7.835415,359.91106271743774,7.835415,359.91106271743774
1,0.5,50,2,put,4.963915,359.9432156085968,4.963915,359.9432156085968
1,0.5,50,3,put,5.2984023,359.7649085521698,5.2984023,359.7649085521698
1,0.5,50,4,put,9.533289,360.85864901542664,9.533289,360.85864901542664
1,0.5,50,5,put,8.383306,364.9842793941498,8.383306,364.9842793941498
1,0.5,50,6,put,5.5740066,362.2535083293915,5.5740066,362.2535083293915
1,0.5,50,7,put,5.9233623,361.4232304096222,5.9233623,361.4232304096222
1,0.5,50,8,put,8.551628,358.2428774833679,8.551628,358.2428774833679
1,0.5,50,9,put,7.930983,358.4605619907379,7.930983,358.4605619907379
