d,T,N,run,K,B,y0,runtime
1, 0.500000, 50, 0, 47.000000, 46.000000, 0.000000, 4.628483
1, 0.500000, 50, 1, 47.000000, 46.000000, 0.000000, 4.670879
1, 0.500000, 50, 2, 47.000000, 46.000000, 0.000000, 4.625716
1, 0.500000, 50, 3, 47.000000, 46.000000, 0.000000, 4.628764
1, 0.500000, 50, 4, 47.000000, 46.000000, 0.000000, 4.675641
1, 0.500000, 50, 5, 47.000000, 46.000000, 0.000000, 4.602815
1, 0.500000, 50, 6, 47.000000, 46.000000, 0.000000, 4.722975
1, 0.500000, 50, 7, 47.000000, 46.000000, 0.000000, 4.657349
1, 0.500000, 50, 8, 47.000000, 46.000000, 0.000000, 4.591629
1, 0.500000, 50, 9, 47.000000, 46.000000, 0.000000, 4.742730
1, 0.500000, 50, 0, 47.000000, 53.000000, 0.278703, 4.591453
1, 0.500000, 50, 1, 47.000000, 53.000000, 0.274523, 4.597597
1, 0.500000, 50, 2, 47.000000, 53.000000, 0.279810, 4.682930
1, 0.500000, 50, 3, 47.000000, 53.000000, 0.279021, 4.589941
1, 0.500000, 50, 4, 47.000000, 53.000000, 0.275240, 4.600755
1, 0.500000, 50, 5, 47.000000, 53.000000, 0.289811, 4.776027
1, 0.500000, 50, 6, 47.000000, 53.000000, 0.291830, 4.612329
1, 0.500000, 50, 7, 47.000000, 53.000000, 0.291943, 4.716582
1, 0.500000, 50, 8, 47.000000, 53.000000, 0.276969, 4.653198
1, 0.500000, 50, 9, 47.000000, 53.000000, 0.285528, 4.656153
1, 0.500000, 50, 0, 52.000000, 46.000000, 0.000000, 4.912348
1, 0.500000, 50, 1, 52.000000, 46.000000, 0.000000, 4.751194
1, 0.500000, 50, 2, 52.000000, 46.000000, 0.000000, 4.732123
1, 0.500000, 50, 3, 52.000000, 46.000000, 0.000000, 4.613336
1, 0.500000, 50, 4, 52.000000, 46.000000, 0.000000, 4.589753
1, 0.500000, 50, 5, 52.000000, 46.000000, 0.000000, 4.608030
1, 0.500000, 50, 6, 52.000000, 46.000000, 0.000000, 4.881882
1, 0.500000, 50, 7, 52.000000, 46.000000, 0.000000, 4.831281
1, 0.500000, 50, 8, 52.000000, 46.000000, 0.000000, 4.643902
1, 0.500000, 50, 9, 52.000000, 46.000000, 0.000000, 4.579981
1, 0.500000, 50, 0, 52.000000, 53.000000, 0.003006, 4.671553
1, 0.500000, 50, 1, 52.000000, 53.000000, 0.003126, 4.596512
1, 0.500000, 50, 2, 52.000000, 53.000000, 0.003343, 4.648146
1, 0.500000, 50, 3, 52.000000, 53.000000, 0.003387, 4.769358
1, 0.500000, 50, 4, 52.000000, 53.000000, 0.003469, 4.569283
1, 0.500000, 50, 5, 52.000000, 53.000000, 0.002904, 4.598166
1, 0.500000, 50, 6, 52.000000, 53.000000, 0.003236, 4.613775
1, 0.500000, 50, 7, 52.000000, 53.000000, 0.002873, 4.586271
1, 0.500000, 50, 8, 52.000000, 53.000000, 0.002577, 4.625650
1, 0.500000, 50, 9, 52.000000, 53.000000, 0.002557, 4.567327
