d,T,N,run,K,B,y0,runtime
1, 0.500000, 50, 0, 47.000000, 46.000000, 0.000000, 4.693152
1, 0.500000, 50, 1, 47.000000, 46.000000, 0.000000, 4.832790
1, 0.500000, 50, 2, 47.000000, 46.000000, 0.000000, 4.692435
1, 0.500000, 50, 3, 47.000000, 46.000000, 0.000000, 4.720010
1, 0.500000, 50, 4, 47.000000, 46.000000, 0.000000, 4.751912
1, 0.500000, 50, 5, 47.000000, 46.000000, 0.000000, 4.718751
1, 0.500000, 50, 6, 47.000000, 46.000000, 0.000000, 4.909334
1, 0.500000, 50, 7, 47.000000, 46.000000, 0.000000, 4.716337
1, 0.500000, 50, 8, 47.000000, 46.000000, 0.000000, 4.727938
1, 0.500000, 50, 9, 47.000000, 46.000000, 0.000000, 4.865416
1, 0.500000, 50, 0, 47.000000, 53.000000, 0.280377, 4.721490
1, 0.500000, 50, 1, 47.000000, 53.000000, 0.271368, 4.684218
1, 0.500000, 50, 2, 47.000000, 53.000000, 0.278536, 4.669720
1, 0.500000, 50, 3, 47.000000, 53.000000, 0.284191, 4.670075
1, 0.500000, 50, 4, 47.000000, 53.000000, 0.277292, 4.880448
1, 0.500000, 50, 5, 47.000000, 53.000000, 0.276204, 4.681447
1, 0.500000, 50, 6, 47.000000, 53.000000, 0.292391, 4.669636
1, 0.500000, 50, 7, 47.000000, 53.000000, 0.280284, 4.819784
1, 0.500000, 50, 8, 47.000000, 53.000000, 0.269519, 4.679571
1, 0.500000, 50, 9, 47.000000, 53.000000, 0.268177, 4.714838
1, 0.500000, 50, 0, 52.000000, 46.000000, 0.000000, 4.662388
1, 0.500000, 50, 1, 52.000000, 46.000000, 0.000000, 4.655948
1, 0.500000, 50, 2, 52.000000, 46.000000, 0.000000, 4.748950
1, 0.500000, 50, 3, 52.000000, 46.000000, 0.000000, 4.645005
1, 0.500000, 50, 4, 52.000000, 46.000000, 0.000000, 4.676568
1, 0.500000, 50, 5, 52.000000, 46.000000, 0.000000, 4.666495
1, 0.500000, 50, 6, 52.000000, 46.000000, 0.000000, 4.632388
1, 0.500000, 50, 7, 52.000000, 46.000000, 0.000000, 4.774693
1, 0.500000, 50, 8, 52.000000, 46.000000, 0.000000, 4.588931
1, 0.500000, 50, 9, 52.000000, 46.000000, 0.000000, 4.645011
1, 0.500000, 50, 0, 52.000000, 53.000000, 0.002406, 4.711538
1, 0.500000, 50, 1, 52.000000, 53.000000, 0.003209, 4.665008
1, 0.500000, 50, 2, 52.000000, 53.000000, 0.002727, 4.794749
1, 0.500000, 50, 3, 52.000000, 53.000000, 0.003346, 4.643028
1, 0.500000, 50, 4, 52.000000, 53.000000, 0.002556, 4.653358
1, 0.500000, 50, 5, 52.000000, 53.000000, 0.002617, 4.716997
1, 0.500000, 50, 6, 52.000000, 53.000000, 0.002766, 4.667213
1, 0.500000, 50, 7, 52.000000, 53.000000, 0.003494, 4.660988
1, 0.500000, 50, 8, 52.000000, 53.000000, 0.003077, 4.658349
1, 0.500000, 50, 9, 52.000000, 53.000000, 0.004196, 4.652017
