d,T,N,run,K,B,y0,runtime
1, 0.500000, 50, 0, 47.000000, 46.000000, 0.000139, 12.069181
1, 0.500000, 50, 1, 47.000000, 46.000000, 0.001400, 11.650425
1, 0.500000, 50, 2, 47.000000, 46.000000, -0.048992, 11.598731
1, 0.500000, 50, 3, 47.000000, 46.000000, -0.077573, 11.785646
1, 0.500000, 50, 4, 47.000000, 46.000000, 0.005687, 11.596912
1, 0.500000, 50, 5, 47.000000, 46.000000, -0.004841, 11.707560
1, 0.500000, 50, 6, 47.000000, 46.000000, -0.002179, 11.794781
1, 0.500000, 50, 7, 47.000000, 46.000000, -0.109666, 11.664220
1, 0.500000, 50, 8, 47.000000, 46.000000, 0.026046, 11.836191
1, 0.500000, 50, 9, 47.000000, 46.000000, -0.180432, 11.728832
1, 0.500000, 50, 0, 47.000000, 53.000000, 0.226389, 11.556934
1, 0.500000, 50, 1, 47.000000, 53.000000, 0.135328, 11.681666
1, 0.500000, 50, 2, 47.000000, 53.000000, 0.512686, 11.593975
1, 0.500000, 50, 3, 47.000000, 53.000000, 0.367208, 11.660528
1, 0.500000, 50, 4, 47.000000, 53.000000, 0.475459, 11.672662
1, 0.500000, 50, 5, 47.000000, 53.000000, 0.505066, 11.607662
1, 0.500000, 50, 6, 47.000000, 53.000000, -0.124007, 11.628677
1, 0.500000, 50, 7, 47.000000, 53.000000, 0.265669, 11.606255
1, 0.500000, 50, 8, 47.000000, 53.000000, 0.357632, 11.660964
1, 0.500000, 50, 9, 47.000000, 53.000000, 0.142827, 11.679325
1, 0.500000, 50, 0, 52.000000, 46.000000, -0.031164, 11.840045
1, 0.500000, 50, 1, 52.000000, 46.000000, -0.046340, 11.667146
1, 0.500000, 50, 2, 52.000000, 46.000000, -0.026457, 11.553476
1, 0.500000, 50, 3, 52.000000, 46.000000, -0.017823, 11.832004
1, 0.500000, 50, 4, 52.000000, 46.000000, 0.013813, 11.647985
1, 0.500000, 50, 5, 52.000000, 46.000000, 0.000950, 11.650582
1, 0.500000, 50, 6, 52.000000, 46.000000, 0.065627, 11.672066
1, 0.500000, 50, 7, 52.000000, 46.000000, 0.006945, 11.590149
1, 0.500000, 50, 8, 52.000000, 46.000000, 0.043313, 11.680898
1, 0.500000, 50, 9, 52.000000, 46.000000, 0.000283, 11.597203
1, 0.500000, 50, 0, 52.000000, 53.000000, -0.006415, 11.615550
1, 0.500000, 50, 1, 52.000000, 53.000000, 0.024890, 11.681899
1, 0.500000, 50, 2, 52.000000, 53.000000, 0.034434, 11.733624
1, 0.500000, 50, 3, 52.000000, 53.000000, -0.120952, 11.542380
1, 0.500000, 50, 4, 52.000000, 53.000000, -0.076209, 11.622473
1, 0.500000, 50, 5, 52.000000, 53.000000, 0.068669, 11.692470
1, 0.500000, 50, 6, 52.000000, 53.000000, 0.020431, 11.618070
1, 0.500000, 50, 7, 52.000000, 53.000000, 0.002283, 11.603461
1, 0.500000, 50, 8, 52.000000, 53.000000, 0.016610, 11.559928
1, 0.500000, 50, 9, 52.000000, 53.000000, 0.140281, 11.662311
